StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q34,Q6,Q10,Q7,Q8,Q3,Q12,Q13,Q14,Q15,Q4,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q40
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"First, let's get a few things out of the way
What grade are you in?",What sport do you do?,Major? (or interest if no major yet),Do you want to be placed in a group with one teammate or friend? You should both put each other's name for this question!,Do you want to be placed with people in your grade?,Would you rather do a 1-on-1?,Would you be interested in a student-athlete speed-dating event in the future?,"Orgain, chocolate milk, or cheribundi?",Travel competition or at-home?,Weight lifting or regular practice?,Morning or afternoon practice?,Hot tub or cold tub?,Breakfast or no breakfast?,Sweet or savory?,Does pineapple belong on pizza?,Coffee or tea?,Take out or dine in?,Chocolate or vanilla?,Book or movie?,Sunrise or sunset?,Passenger or driver?,Winter or summer?,Aisle or window?,Toilet paper: over or under,Slides or birks?,Night owl or early bird?,Earbuds or headphones?,Spotify or apple music?,Snapchat or Instagram?,Phone call or text?,"Getting around campus: walk, bike, board, scooter, or drive?",Study inside or outside?,Stern or wilbur?,Jimmy V's or Alumni Cafe?,East or West campus!,"Perfect study spot: AARC, green library, law library, dorm, field?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID4""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}"
2021-02-08 23:51:51,2021-02-08 23:53:05,1,,100,73,1,2021-02-08 23:53:06,R_dm22X8JrUlNgv29,,,,,37.423004150390600,-122.1638946533200000,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 23:57:39,2021-02-08 23:59:07,0,68.65.175.46,100,87,1,2021-02-08 23:59:07,R_1Do6Smhmng42Lem,,,,,37.423004150390600,-122.1638946533200000,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 23:59:20,2021-02-09 00:00:39,8,68.65.175.46,100,79,1,2021-02-09 00:00:39,R_2zraGfelY7JVsCt,,,,,37.423004150390600,-122.1638946533200000,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 00:02:37,2021-02-09 00:04:51,0,128.12.122.201,100,133,1,2021-02-09 00:04:51,R_1In361TILp82mhs,,,,,37.423004150390600,-122.1638946533200000,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 11:34:29,2021-02-09 11:36:29,0,128.12.122.48,100,120,1,2021-02-09 11:36:30,R_22QCDZ02iLAVAwh,,,,,37.423004150390600,-122.1638946533200000,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09 11:49:47,2021-02-09 11:51:37,0,172.58.30.149,100,110,1,2021-02-09 11:51:37,R_1pxHLLBPcmgtuKu,,,,,34.006195068359400,-117.44319915771500000,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10 21:10:29,2021-02-10 21:13:11,0,128.12.123.237,100,161,1,2021-02-10 21:13:11,R_2sQCXyBu7Z1v3JS,,,,,37.423004150390600,-122.1638946533200000,anonymous,EN,5,32,,,2,2,1,3,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3
2021-02-10 21:10:27,2021-02-10 21:14:57,0,209.166.127.146,100,269,1,2021-02-10 21:14:57,R_sIlIbw6R9DlUBLb,,,,,30.2886962890625,-97.73979949951170000,anonymous,EN,5,10,Aero/Astro,No,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,4,1,1,1,1,2
